bookName,bookPublisher,publishDate,bookPrice,commentScore,commentNum,intro
白夜行,南海出版公司,2013-1-1,39.50元,9.2,226344,一宗离奇命案牵出跨度近20年步步惊心的故事
巨人的陨落,江苏凤凰文艺出版社,2016-5-1,129.80元,8.9,63074,五个家族，一场战争
冰与火之歌,重庆出版社,2013-10-1,330.00元,9.5,7104,乔治·R·R·马丁史诗奇幻小说
福尔摩斯探案全集（上中下）,群众出版社,1981-8,53.00元/68.00元,9.2,85062,名侦探的代名词
时间简史,湖南科学技术出版社,2010-4,45.00元,8.8,43782,伊坂幸太郎代表作
动物农场,上海译文出版社,2007-3,10.00元,9.2,80305,太阳底下并无新事
金色梦乡,译林出版社,2010-9,35.00元,9.0,17438,一颗纯美纯善、永难泯灭的童心
小王子,人民文学出版社,2003-8,22.00元,9.0,537950,献给长成了大人的孩子们
城南旧事,中国青年出版社,2003-7,16.00元,9.0,88719,长亭外，古道边，芳草碧连天
房思琪的初恋乐园,北京联合出版公司,2018-1,45.00元,9.2,149554,向死而生的文学绝唱
王尔德童话,译林出版社,2003-6,6.00元,9.1,14293,翻手为苍凉，覆手为繁华
傲慢与偏见,人民文学出版社,1993-7,13.00元,8.8,176081,所有现代言情小说的母体
天龙八部,生活.读书.新知三联书店,1994-5,96.0,9.1,96174,有情皆孽，无人不冤
乡土中国,上海人民出版社,2006-4,38.00,9.2,30450,中国乡土社会传统文化和社会结构理论研究代表作
陆犯焉识,作家出版社,2011-10,35.00元,8.8,41178,暗恋的极致
撒哈拉的故事,哈尔滨出版社,2003-8,15.80元,9.2,58171,游荡的自由灵魂
一个陌生女人的来信,上海译文出版社,2007-7,20.00元,8.7,100073,1768年中国妖术大恐慌
黄金时代,花城出版社,1999-3,19.00元,8.8,117261,我想爱，想吃，还想在一瞬间变成天上半明半暗的云
叫魂,生活·读书·新知三联书店 上海三联书店,2012-5,38.00元,9.0,17177,阿勒泰的精灵
安徒生童话故事集,人民文学出版社,1997-08,25.00元,9.2,79623,为了争取未来的一代
新名字的故事,人民文学出版社,2017-4,59.00元,9.0,38591,探索青年时代的激情、困惑、挣扎、背叛和失去
冬牧场,新星出版社,2012-6,29.80元,9.0,16062,对世俗、实用问题深刻而透彻的讨论
